W06000001,Isle of Anglesey,97
W06000002,Gwynedd,46
W06000003,Conwy,102
W06000004,Denbighshire,114
W06000005,Flintshire,352
W06000006,Wrexham,268
W06000023,Powys,26
W06000008,Ceredigion,40
W06000009,Pembrokeshire,76
W06000010,Carmarthenshire,79
W06000011,Swansea,632
W06000012,Neath Port Talbot,322
W06000013,Bridgend,580
W06000014,Vale of Glamorgan,398
W06000015,Cardiff,"2,572"
W06000016,Rhondda Cynon Taf,560
W06000024,Merthyr Tydfil,528
W06000018,Caerphilly,634
W06000019,Blaenau Gwent,615
W06000020,Torfaen,734
W06000021,Monmouthshire,110
W06000022,Newport,838